Message,Category
Windstorm toppling trees and damaging properties.,storm
Heavy rain causing landslides in the hilly areas.,landslide
Emergency crews battling out-of-control wildfires.,fire
"Flash flooding in residential areas, roads submerged.",flood
"Record-breaking temperatures reported, heatstroke cases rising.",heatwave
Hurricane-force winds causing widespread destruction.,hurricane
"Forest fire spreading rapidly, evacuations required.",fire
Rockslides occurring on steep mountain paths.,landslide
Storm surge flooding low-lying areas as hurricane lands.,hurricane
"Earthquake epicenter located offshore, tsunami likely.",earthquake
"Drought conditions worsening, water scarcity reported.",drought
Unprecedented heatwave affecting vulnerable populations.,heatwave
"Major earthquake reported, buildings collapsed.",earthquake
"Strong tremors felt in downtown, possible aftershocks.",earthquake
"Strong tremors felt in downtown, possible aftershocks.",earthquake
Tsunami warning issued after underwater earthquake.,tsunami
"Forest fire spreading rapidly, evacuations required.",fire
Severe hailstorm damaging vehicles and rooftops.,storm
"Drought conditions worsening, water scarcity reported.",drought
Severe hailstorm damaging vehicles and rooftops.,storm
Windstorm toppling trees and damaging properties.,storm
Heavy rain causing landslides in the hilly areas.,landslide
Volcanic ash cloud disrupting flights in the area.,volcano
Smoke from forest fire affecting nearby cities.,fire
Smoke from forest fire affecting nearby cities.,fire
Lava flow threatening villages near the volcano.,volcano
Severe hailstorm damaging vehicles and rooftops.,storm
Windstorm toppling trees and damaging properties.,storm
Rockslides occurring on steep mountain paths.,landslide
Severe water shortage leading to emergency restrictions.,drought
Strong aftershock rattles earthquake-affected zones.,earthquake
"Authorities issue tsunami evacuation orders, high waves expected.",tsunami
"Tsunami sirens activated, residents advised to move to higher ground.",tsunami
"Forest fire spreading rapidly, evacuations required.",fire
Unprecedented heatwave affecting vulnerable populations.,heatwave
"Wildfire nearing suburban neighborhoods, evacuation underway.",fire
Volcanic ash cloud disrupting flights in the area.,volcano
Mudslides blocking major highways in the region.,landslide
"Authorities issue tsunami evacuation orders, high waves expected.",tsunami
"Strong tremors felt in downtown, possible aftershocks.",earthquake
Mudslides blocking major highways in the region.,landslide
Severe water shortage leading to emergency restrictions.,drought
"Flood in the city center, need help urgently!",flood
"Category 4 hurricane heading towards the coastline, prepare now.",hurricane
Prolonged dry spell causing crop failures.,drought
Severe water shortage leading to emergency restrictions.,drought
"Tsunami sirens activated, residents advised to move to higher ground.",tsunami
Extreme heatwave causing health issues in urban areas.,heatwave
